t_sec,x_bin,y_bin,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
30,"[2,4)",>=2,"[0.95,0.98)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.95000000,1,0.95000000,0.05000000,0.05000000,-0.743450685622762572644686990659235135454905747938657255997644
30,"[2,4)",>=2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,1,0.99000000,0.01000000,0.01000000,-0.783450685622762572644686990659235135454905747938657255997644
30,"[2,4)",>=2,ask=1,158,2,0,156,0,0,0.0240329314374149377257532448230617732617528518752598870345640,1.00000000,156,156.00000000,0E-8,0E-8,-0.0240329314374149377257532448230617732617528518752598870345640
30,"[4,8)",<-2,ask=0,0,0,0,0,,,,,0,0,0,,
30,"[4,8)",<-2,"(0,0.90)",22,0,13,22,0.590909090909090909090909090909090909090909090909090909090909,0.387348184763151252931207788424813176299302346744465035620710,0.767441838035281315203059547734603922567785740224701481858630,0.461363636363636363636363636363636363636363636363636363636364,9,10.15000000,-1.15000000,-0.0522727272727272727272727272727272727272727272727272727272727,-0.228805474398917678839423184098240286204149376588337845494994
30,"[4,8)",<-2,"[0.90,0.95)",6,0,0,6,0,0,0.390334287902165324898707055142237608185625673736798285240772,0.93000000,6,5.58000000,0.42000000,0.07000000,-0.320334287902165324898707055142237608185625673736798285240772
30,"[4,8)",<-2,"[0.95,0.98)",11,1,0,10,0,0,0.277532799862889204526030927043294338473666863904268179277910,0.96200000,10,9.62000000,0.38000000,0.03800000,-0.239532799862889204526030927043294338473666863904268179277910
30,"[4,8)",<-2,"[0.98,1)",17,0,0,17,0,0,0.184318135008851803742656742183482675848991885361038668946270,0.989411764705882352941176470588235294117647058823529411764706,17,16.82000000,0.18000000,0.0105882352941176470588235294117647058823529411764705882352941,-0.173729899714734156683833212771717969966638944184568080710976
30,"[4,8)",<-2,ask=1,154,2,0,152,0,0,0.0246497873528890455532111406879636409992235161583549300397408,1.00000000,152,152.00000000,0E-8,0E-8,-0.0246497873528890455532111406879636409992235161583549300397408
30,"[4,8)","[-2,0)",ask=0,0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[-2,0)","(0,0.90)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.51000000,1,0.51000000,0.49000000,0.49000000,-0.303450685622762572644686990659235135454905747938657255997644
30,"[4,8)","[-2,0)","[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[-2,0)","[0.98,1)",11,0,1,11,0.0909090909090909090909090909090909090909090909090909090909091,0.016232172885884845686826985683594359775015595838264491904934,0.377358436451595628459170053972266708113222687190769983304724,0.996363636363636363636363636363636363636363636363636363636364,10,10.96000000,-0.96000000,-0.0872727272727272727272727272727272727272727272727272727272727,-0.373722072815231992095533690335903071749586323554406346941088
30,"[4,8)","[-2,0)",ask=1,529,2,0,527,0,0,0.00723654634893858263987300345313131561272995040866587205635514,1.00000000,527,527.00000000,0E-8,0E-8,-0.00723654634893858263987300345313131561272995040866587205635514
30,"[4,8)","[0,2)",ask=0,0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[0,2)","(0,0.90)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[0,2)","[0.98,1)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)","[0,2)",ask=1,666,2,0,664,0,0,0.00575205203264492412663891511570152327076012877129445192131854,1.00000000,664,664.00000000,0E-8,0E-8,-0.00575205203264492412663891511570152327076012877129445192131854
30,"[4,8)",>=2,ask=0,0,0,0,0,,,,,0,0,0,,
30,"[4,8)",>=2,"(0,0.90)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)",>=2,"[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)",>=2,"[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
30,"[4,8)",>=2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,1,0.99000000,0.01000000,0.01000000,-0.783450685622762572644686990659235135454905747938657255997644
30,"[4,8)",>=2,ask=1,283,0,0,283,0,0,0.0133922719417468800191970897459232840195967897843813321991874,1.00000000,283,283.00000000,0E-8,0E-8,-0.0133922719417468800191970897459232840195967897843813321991874
30,"[8,infinity)",<-2,ask=0,0,0,0,0,,,,,0,0,0,,
30,"[8,infinity)",<-2,"(0,0.90)",2,0,1,2,0.5,0.094531205734230729793326600900495328768115141516490687279156,0.905468794265769270206673399099504671231884858483509312720844,0.46000000,1,0.92000000,0.08000000,0.04000000,-0.365468794265769270206673399099504671231884858483509312720844
30,"[8,infinity)",<-2,"[0.90,0.95)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.94000000,1,0.94000000,0.06000000,0.06000000,-0.733450685622762572644686990659235135454905747938657255997644
30,"[8,infinity)",<-2,"[0.95,0.98)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.97000000,1,0.97000000,0.03000000,0.03000000,-0.763450685622762572644686990659235135454905747938657255997644
