t_sec,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
90,"[0.98,1)",1071,3,17,1068,0.0159176029962546816479400749063670411985018726591760299625468,0.00996161982688241929322389160254843205539269306943937270497771,0.0253434698477879603211479622264934931113713658826810886991283,0.986500936329588014981273408239700374531835205992509363295880,1051,1053.58300000,-2.58300000,-0.00241853932584269662921348314606741573033707865168539325842697,-0.0118444061773759753024213704661938676432065718751904519950083
90,ask=1,1345,4,6,1341,0.00447427293064876957494407158836689038031319910514541387024609,0.00205216405661689220704844673896433570740248375467099904865747,0.00972726073490141054922320984473745063255720297475818904693097,1.00000000,1335,1341.00000000,-6.00000000,-0.00447427293064876957494407158836689038031319910514541387024609,-0.00972726073490141054922320984473745063255720297475818904693097
60,ask=0,0,0,0,0,,,,,0,0,0,,
60,"(0,0.90)",1350,5,558,1345,0.414869888475836431226765799256505576208178438661710037174721,0.388817632727628165239676104553248561930827017827202848045294,0.441407040081423062485507923556640037411879434772404961041538,0.580135315985130111524163568773234200743494423791821561338290,787,780.28200000,6.71800000,0.00499479553903345724907063197026022304832713754646840148698885,-0.021542356066553174009671492329874238155373858564226522379828
60,"[0.90,0.95)",415,0,33,415,0.0795180722891566265060240963855421686746987951807228915662651,0.0571793559264478913389662923925782568565235821512112959347067,0.109569797840092750834865151860324851047175891944637295870646,0.920759036144578313253012048192771084337349397590361445783133,382,382.11500000,-0.11500000,-0.000277108433734939759036144578313253012048192771084337349397590,-0.030328833984671064087877200053095935384525289534998741653779
60,"[0.95,0.98)",517,1,19,516,0.0368217054263565891472868217054263565891472868217054263565891,0.0236976501868393468385922998686829674699802781375700561619161,0.0567912337040591180068712073549745476828916144109424432355381,0.962720930232558139534883720930232558139534883720930232558140,497,496.76400000,0.23600000,0.000457364341085271317829457364341085271317829457364341085271318,-0.0195121639366172575417549282852071058224264981318726757936781
60,"[0.98,1)",1109,8,21,1101,0.0190735694822888283378746594005449591280653950953678474114441,0.0125086872404721399047223878069475689934290110435677857586883,0.0289827488879523124344420766868540144071236142684672752849051,0.987483197093551316984559491371480472297910990009082652134423,1080,1087.21900000,-7.21900000,-0.00655676657584014532243415077202543142597638510445049954586739,-0.0164659459815036294190015680583344867050346042775499274193281
60,ask=1,2884,11,2,2873,0.000696136442742777584406543682561782109293421510616080751827358,0.00019092648423226803345287522117055087667974179673708971740840,0.00253479161074700148737398966662336439179898750316436683602854,1.00000000,2871,2873.00000000,-2.00000000,-0.000696136442742777584406543682561782109293421510616080751827358,-0.00253479161074700148737398966662336439179898750316436683602854
30,ask=0,0,0,0,0,,,,,0,0,0,,
30,"(0,0.90)",533,1,340,532,0.639097744360902255639097744360902255639097744360902255639098,0.597424485639518300926567323289600969774912184839872014428788,0.678776613703794139151000184789770488908098508366040728737330,0.384565789473684210526315789473684210526315789473684210526316,192,204.58900000,-12.58900000,-0.0236635338345864661654135338345864661654135338345864661654135,-0.063342403177478349677315974263454699434414297839724939263646
30,"[0.90,0.95)",88,1,6,87,0.0689655172413793103448275862068965517241379310344827586206897,0.0319888394425767664370104588799469000517347625847884249415125,0.142396942405802839959227493447118041403962188578396096018675,0.922310344827586206896551724137931034482758620689655172413793,81,80.24100000,0.75900000,0.00872413793103448275862068965517241379310344827586206896551724,-0.064707287233389046855779217585049075886720809268051268432468
30,"[0.95,0.98)",155,2,6,153,0.0392156862745098039215686274509803921568627450980392156862745,0.0180947409083426070566058308718181748853955280588713279712940,0.0829082651833347052315503286423262418561651844173072046181490,0.963790849673202614379084967320261437908496732026143790849673,147,147.46000000,-0.46000000,-0.00300653594771241830065359477124183006535947712418300653594771,-0.0466991148565373196106352959625876797646619164434509954678220
30,"[0.98,1)",456,1,4,455,0.00879120879120879120879120879120879120879120879120879120879121,0.00342388903159380432574754345730954904841969897433626817935710,0.0223834101848475883462393322039909165066365603387405622408895,0.987263736263736263736263736263736263736263736263736263736264,451,449.20500000,1.79500000,0.00394505494505494505494505494505494505494505494505494505494505,-0.0096471464485838520825030684677271802429002966024768259771535
30,ask=1,5553,22,3,5531,0.000542397396492496836015187127101789911408425239558850117519436,0.000184480821647158118332861520177980520867380771882377836540429,0.00159361144963373231874808210593578928179612782731929150127220,1.00000000,5528,5531.00000000,-3.00000000,-0.000542397396492496836015187127101789911408425239558850117519436,-0.00159361144963373231874808210593578928179612782731929150127220
15,ask=0,0,0,0,0,,,,,0,0,0,,
15,"(0,0.90)",263,1,205,262,0.782442748091603053435114503816793893129770992366412213740458,0.728597391146067894719318344806682873062120834769796854910190,0.828125403923393666890687383704383618295352742332450564552756,0.222793893129770992366412213740458015267175572519083969465649,57,58.37200000,-1.37200000,-0.00523664122137404580152671755725190839694656488549618320610687,-0.050919297053164659257099597444841633562528314851534534018405
15,"[0.90,0.95)",36,0,4,36,0.111111111111111111111111111111111111111111111111111111111111,0.044066403003156485830822589017943874728866937598732008878799,0.253148085903648584254478762487566638211113893330551461902397,0.925555555555555555555555555555555555555555555555555555555556,32,33.32000000,-1.32000000,-0.0366666666666666666666666666666666666666666666666666666666667,-0.178703641459204139810034318043122193766669448886107017457953
15,"[0.95,0.98)",44,0,3,44,0.0681818181818181818181818181818181818181818181818181818181818,0.0234593959073816342714641858084334730774010185269923379710806,0.182250443702215301624772604495205833040977217045011544221685,0.963181818181818181818181818181818181818181818181818181818182,41,42.38000000,-1.38000000,-0.0313636363636363636363636363636363636363636363636363636363636,-0.145432261884033483442954422677024014859159035226829726039867
15,"[0.98,1)",199,0,1,199,0.00502512562814070351758793969849246231155778894472361809045226,0.0008876095100409552055732814196554262671717678256829044150348,0.0279105408023061994964021839205685199230258702441873331522848,0.988281407035175879396984924623115577889447236180904522613065,198,196.66800000,1.33200000,0.00669346733668341708542713567839195979899497487437185929648241,-0.0161919478374820788933871085436840978124731064250918557653498
15,ask=1,6418,26,1,6392,0.000156445556946182728410513141426783479349186483103879849812265,0.000027617016142071318237942404227273479791329174148447890135001,0.000885704375312683458906833760692556736099744000710454206953615,1.00000000,6391,6392.00000000,-1.00000000,-0.000156445556946182728410513141426783479349186483103879849812265,-0.000885704375312683458906833760692556736099744000710454206953615
10,ask=0,0,0,0,0,,,,,0,0,0,,
