panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
primary,60,projected_close,"[0,1)","[-2,0)",0,0,0,0,
primary,60,projected_close,"[0,1)","[0,2)",281,0,85,281,0.30249110320284697508896797153024911032028469750889679715302491103202846975088968
primary,60,projected_close,"[0,1)",>=2,0,0,0,0,
primary,60,projected_close,"[1,2)",<-2,0,0,0,0,
primary,60,projected_close,"[1,2)","[-2,0)",0,0,0,0,
primary,60,projected_close,"[1,2)","[0,2)",226,0,34,226,0.15044247787610619469026548672566371681415929203539823008849557522123893805309735
primary,60,projected_close,"[1,2)",>=2,0,0,0,0,
primary,60,projected_close,"[2,4)",<-2,0,0,0,0,
primary,60,projected_close,"[2,4)","[-2,0)",0,0,0,0,
primary,60,projected_close,"[2,4)","[0,2)",407,0,29,407,0.071253071253071253071253071253071253071253071253071253071253071253071253071253071
primary,60,projected_close,"[2,4)",>=2,0,0,0,0,
primary,60,projected_close,"[4,8)",<-2,0,0,0,0,
primary,60,projected_close,"[4,8)","[-2,0)",0,0,0,0,
primary,60,projected_close,"[4,8)","[0,2)",496,0,7,496,0.014112903225806451612903225806451612903225806451612903225806451612903225806451613
primary,60,projected_close,"[4,8)",>=2,0,0,0,0,
primary,60,projected_close,"[8,infinity)",<-2,0,0,0,0,
primary,60,projected_close,"[8,infinity)","[-2,0)",0,0,0,0,
primary,60,projected_close,"[8,infinity)","[0,2)",515,0,1,515,0.0019417475728155339805825242718446601941747572815533980582524271844660194174757282
primary,60,projected_close,"[8,infinity)",>=2,0,0,0,0,
primary,30,raw_twap,"[0,1)",<-2,21,0,20,21,0.95238095238095238095238095238095238095238095238095238095238095238095238095238095
primary,30,raw_twap,"[0,1)","[-2,0)",116,0,46,116,0.39655172413793103448275862068965517241379310344827586206896551724137931034482759
primary,30,raw_twap,"[0,1)","[0,2)",131,0,4,131,0.030534351145038167938931297709923664122137404580152671755725190839694656488549618
primary,30,raw_twap,"[0,1)",>=2,17,0,0,17,0
primary,30,raw_twap,"[1,2)",<-2,26,0,23,26,0.88461538461538461538461538461538461538461538461538461538461538461538461538461538
primary,30,raw_twap,"[1,2)","[-2,0)",73,0,8,73,0.10958904109589041095890410958904109589041095890410958904109589041095890410958904
primary,30,raw_twap,"[1,2)","[0,2)",94,0,0,94,0
primary,30,raw_twap,"[1,2)",>=2,42,0,1,42,0.023809523809523809523809523809523809523809523809523809523809523809523809523809524
primary,30,raw_twap,"[2,4)",<-2,40,0,17,40,0.425
primary,30,raw_twap,"[2,4)","[-2,0)",152,0,1,152,0.0065789473684210526315789473684210526315789473684210526315789473684210526315789474
primary,30,raw_twap,"[2,4)","[0,2)",181,0,0,181,0
primary,30,raw_twap,"[2,4)",>=2,48,0,0,48,0
primary,30,raw_twap,"[4,8)",<-2,61,0,5,61,0.081967213114754098360655737704918032786885245901639344262295081967213114754098361
primary,30,raw_twap,"[4,8)","[-2,0)",151,0,0,151,0
primary,30,raw_twap,"[4,8)","[0,2)",193,0,0,193,0
primary,30,raw_twap,"[4,8)",>=2,77,0,0,77,0
primary,30,raw_twap,"[8,infinity)",<-2,87,0,0,87,0
primary,30,raw_twap,"[8,infinity)","[-2,0)",115,0,0,115,0
primary,30,raw_twap,"[8,infinity)","[0,2)",159,0,0,159,0
primary,30,raw_twap,"[8,infinity)",>=2,141,0,0,141,0
primary,30,projected_close,"[0,1)",<-2,0,0,0,0,
primary,30,projected_close,"[0,1)","[-2,0)",115,0,16,115,0.13913043478260869565217391304347826086956521739130434782608695652173913043478261
primary,30,projected_close,"[0,1)","[0,2)",131,0,15,131,0.11450381679389312977099236641221374045801526717557251908396946564885496183206107
primary,30,projected_close,"[0,1)",>=2,1,0,0,1,0
primary,30,projected_close,"[1,2)",<-2,1,0,0,1,0
primary,30,projected_close,"[1,2)","[-2,0)",120,0,3,120,0.025
primary,30,projected_close,"[1,2)","[0,2)",137,0,1,137,0.0072992700729927007299270072992700729927007299270072992700729927007299270072992701
primary,30,projected_close,"[1,2)",>=2,3,0,0,3,0
primary,30,projected_close,"[2,4)",<-2,3,0,0,3,0
primary,30,projected_close,"[2,4)","[-2,0)",167,0,0,167,0
primary,30,projected_close,"[2,4)","[0,2)",222,0,0,222,0
primary,30,projected_close,"[2,4)",>=2,1,0,0,1,0
primary,30,projected_close,"[4,8)",<-2,6,0,0,6,0
primary,30,projected_close,"[4,8)","[-2,0)",187,0,0,187,0
primary,30,projected_close,"[4,8)","[0,2)",293,0,1,293,0.0034129692832764505119453924914675767918088737201365187713310580204778156996587031
primary,30,projected_close,"[4,8)",>=2,8,0,0,8,0
primary,30,projected_close,"[8,infinity)",<-2,13,0,0,13,0
primary,30,projected_close,"[8,infinity)","[-2,0)",183,0,0,183,0
primary,30,projected_close,"[8,infinity)","[0,2)",308,0,0,308,0
primary,30,projected_close,"[8,infinity)",>=2,26,0,0,26,0
primary,15,raw_twap,"[0,1)",<-2,22,0,21,22,0.95454545454545454545454545454545454545454545454545454545454545454545454545454545
primary,15,raw_twap,"[0,1)","[-2,0)",104,0,24,104,0.23076923076923076923076923076923076923076923076923076923076923076923076923076923
primary,15,raw_twap,"[0,1)","[0,2)",126,0,2,126,0.015873015873015873015873015873015873015873015873015873015873015873015873015873016
primary,15,raw_twap,"[0,1)",>=2,26,0,0,26,0
primary,15,raw_twap,"[1,2)",<-2,22,0,8,22,0.36363636363636363636363636363636363636363636363636363636363636363636363636363636
primary,15,raw_twap,"[1,2)","[-2,0)",80,0,1,80,0.0125
primary,15,raw_twap,"[1,2)","[0,2)",105,0,0,105,0
primary,15,raw_twap,"[1,2)",>=2,25,0,0,25,0
primary,15,raw_twap,"[2,4)",<-2,42,0,5,42,0.11904761904761904761904761904761904761904761904761904761904761904761904761904762
primary,15,raw_twap,"[2,4)","[-2,0)",153,0,1,153,0.0065359477124183006535947712418300653594771241830065359477124183006535947712418301
primary,15,raw_twap,"[2,4)","[0,2)",165,0,0,165,0
primary,15,raw_twap,"[2,4)",>=2,48,0,0,48,0
primary,15,raw_twap,"[4,8)",<-2,61,0,0,61,0
primary,15,raw_twap,"[4,8)","[-2,0)",160,0,0,160,0
primary,15,raw_twap,"[4,8)","[0,2)",195,0,0,195,0
primary,15,raw_twap,"[4,8)",>=2,78,0,0,78,0
primary,15,raw_twap,"[8,infinity)",<-2,75,0,0,75,0
primary,15,raw_twap,"[8,infinity)","[-2,0)",132,0,0,132,0
primary,15,raw_twap,"[8,infinity)","[0,2)",168,0,0,168,0
