panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
fresh_3s,15,raw_twap,"[2,4)",<-2,41,0,5,41,0.12195121951219512195121951219512195121951219512195121951219512195121951219512195
fresh_3s,15,raw_twap,"[2,4)","[-2,0)",151,0,1,151,0.0066225165562913907284768211920529801324503311258278145695364238410596026490066225
fresh_3s,15,raw_twap,"[2,4)","[0,2)",163,0,0,163,0
fresh_3s,15,raw_twap,"[2,4)",>=2,48,0,0,48,0
fresh_3s,15,raw_twap,"[4,8)",<-2,59,0,0,59,0
fresh_3s,15,raw_twap,"[4,8)","[-2,0)",159,0,0,159,0
fresh_3s,15,raw_twap,"[4,8)","[0,2)",193,0,0,193,0
fresh_3s,15,raw_twap,"[4,8)",>=2,77,0,0,77,0
fresh_3s,15,raw_twap,"[8,infinity)",<-2,73,0,0,73,0
fresh_3s,15,raw_twap,"[8,infinity)","[-2,0)",128,0,0,128,0
fresh_3s,15,raw_twap,"[8,infinity)","[0,2)",165,0,0,165,0
fresh_3s,15,raw_twap,"[8,infinity)",>=2,132,0,0,132,0
fresh_3s,15,projected_close,"[0,1)",<-2,5,0,1,5,0.2
fresh_3s,15,projected_close,"[0,1)","[-2,0)",104,0,4,104,0.038461538461538461538461538461538461538461538461538461538461538461538461538461538
fresh_3s,15,projected_close,"[0,1)","[0,2)",127,0,6,127,0.047244094488188976377952755905511811023622047244094488188976377952755905511811024
fresh_3s,15,projected_close,"[0,1)",>=2,9,0,0,9,0
fresh_3s,15,projected_close,"[1,2)",<-2,10,0,0,10,0
fresh_3s,15,projected_close,"[1,2)","[-2,0)",117,0,0,117,0
fresh_3s,15,projected_close,"[1,2)","[0,2)",116,0,0,116,0
fresh_3s,15,projected_close,"[1,2)",>=2,6,0,0,6,0
fresh_3s,15,projected_close,"[2,4)",<-2,17,0,0,17,0
fresh_3s,15,projected_close,"[2,4)","[-2,0)",159,0,0,159,0
fresh_3s,15,projected_close,"[2,4)","[0,2)",202,0,0,202,0
fresh_3s,15,projected_close,"[2,4)",>=2,13,0,0,13,0
fresh_3s,15,projected_close,"[4,8)",<-2,21,0,0,21,0
fresh_3s,15,projected_close,"[4,8)","[-2,0)",188,0,0,188,0
fresh_3s,15,projected_close,"[4,8)","[0,2)",250,0,0,250,0
fresh_3s,15,projected_close,"[4,8)",>=2,37,0,0,37,0
fresh_3s,15,projected_close,"[8,infinity)",<-2,40,0,0,40,0
fresh_3s,15,projected_close,"[8,infinity)","[-2,0)",154,0,0,154,0
fresh_3s,15,projected_close,"[8,infinity)","[0,2)",242,0,0,242,0
fresh_3s,15,projected_close,"[8,infinity)",>=2,79,0,0,79,0
fresh_3s,10,raw_twap,"[0,1)",<-2,23,0,21,23,0.91304347826086956521739130434782608695652173913043478260869565217391304347826087
fresh_3s,10,raw_twap,"[0,1)","[-2,0)",90,0,15,90,0.16666666666666666666666666666666666666666666666666666666666666666666666666666667
fresh_3s,10,raw_twap,"[0,1)","[0,2)",123,0,1,123,0.0081300813008130081300813008130081300813008130081300813008130081300813008130081301
fresh_3s,10,raw_twap,"[0,1)",>=2,17,0,0,17,0
fresh_3s,10,raw_twap,"[1,2)",<-2,20,0,5,20,0.25
fresh_3s,10,raw_twap,"[1,2)","[-2,0)",96,0,1,96,0.010416666666666666666666666666666666666666666666666666666666666666666666666666667
fresh_3s,10,raw_twap,"[1,2)","[0,2)",110,0,0,110,0
fresh_3s,10,raw_twap,"[1,2)",>=2,23,0,0,23,0
fresh_3s,10,raw_twap,"[2,4)",<-2,45,0,0,45,0
fresh_3s,10,raw_twap,"[2,4)","[-2,0)",141,0,0,141,0
fresh_3s,10,raw_twap,"[2,4)","[0,2)",163,0,0,163,0
fresh_3s,10,raw_twap,"[2,4)",>=2,51,0,0,51,0
fresh_3s,10,raw_twap,"[4,8)",<-2,52,0,0,52,0
fresh_3s,10,raw_twap,"[4,8)","[-2,0)",162,0,0,162,0
fresh_3s,10,raw_twap,"[4,8)","[0,2)",195,0,0,195,0
fresh_3s,10,raw_twap,"[4,8)",>=2,79,0,0,79,0
fresh_3s,10,raw_twap,"[8,infinity)",<-2,76,0,0,76,0
fresh_3s,10,raw_twap,"[8,infinity)","[-2,0)",131,0,0,131,0
fresh_3s,10,raw_twap,"[8,infinity)","[0,2)",168,0,0,168,0
fresh_3s,10,raw_twap,"[8,infinity)",>=2,137,0,0,137,0
fresh_3s,10,projected_close,"[0,1)",<-2,5,0,0,5,0
fresh_3s,10,projected_close,"[0,1)","[-2,0)",101,0,2,101,0.019801980198019801980198019801980198019801980198019801980198019801980198019801980
fresh_3s,10,projected_close,"[0,1)","[0,2)",118,0,2,118,0.016949152542372881355932203389830508474576271186440677966101694915254237288135593
fresh_3s,10,projected_close,"[0,1)",>=2,15,0,1,15,0.066666666666666666666666666666666666666666666666666666666666666666666666666666667
fresh_3s,10,projected_close,"[1,2)",<-2,19,0,0,19,0
fresh_3s,10,projected_close,"[1,2)","[-2,0)",110,0,0,110,0
fresh_3s,10,projected_close,"[1,2)","[0,2)",116,0,0,116,0
fresh_3s,10,projected_close,"[1,2)",>=2,8,0,0,8,0
fresh_3s,10,projected_close,"[2,4)",<-2,26,0,0,26,0
fresh_3s,10,projected_close,"[2,4)","[-2,0)",146,0,0,146,0
fresh_3s,10,projected_close,"[2,4)","[0,2)",195,0,0,195,0
fresh_3s,10,projected_close,"[2,4)",>=2,22,0,0,22,0
fresh_3s,10,projected_close,"[4,8)",<-2,33,0,0,33,0
fresh_3s,10,projected_close,"[4,8)","[-2,0)",176,0,0,176,0
fresh_3s,10,projected_close,"[4,8)","[0,2)",238,0,0,238,0
fresh_3s,10,projected_close,"[4,8)",>=2,50,0,0,50,0
fresh_3s,10,projected_close,"[8,infinity)",<-2,50,0,0,50,0
fresh_3s,10,projected_close,"[8,infinity)","[-2,0)",162,0,0,162,0
fresh_3s,10,projected_close,"[8,infinity)","[0,2)",216,0,0,216,0
fresh_3s,10,projected_close,"[8,infinity)",>=2,96,0,0,96,0
fresh_3s,5,raw_twap,"[0,1)",<-2,16,0,12,16,0.75
fresh_3s,5,raw_twap,"[0,1)","[-2,0)",98,0,9,98,0.091836734693877551020408163265306122448979591836734693877551020408163265306122449
fresh_3s,5,raw_twap,"[0,1)","[0,2)",117,0,1,117,0.0085470085470085470085470085470085470085470085470085470085470085470085470085470085
fresh_3s,5,raw_twap,"[0,1)",>=2,26,0,0,26,0
fresh_3s,5,raw_twap,"[1,2)",<-2,29,0,0,29,0
fresh_3s,5,raw_twap,"[1,2)","[-2,0)",102,0,0,102,0
fresh_3s,5,raw_twap,"[1,2)","[0,2)",98,0,0,98,0
fresh_3s,5,raw_twap,"[1,2)",>=2,21,0,0,21,0
fresh_3s,5,raw_twap,"[2,4)",<-2,45,0,0,45,0
fresh_3s,5,raw_twap,"[2,4)","[-2,0)",139,0,0,139,0
fresh_3s,5,raw_twap,"[2,4)","[0,2)",171,0,0,171,0
fresh_3s,5,raw_twap,"[2,4)",>=2,36,0,0,36,0
fresh_3s,5,raw_twap,"[4,8)",<-2,51,0,0,51,0
fresh_3s,5,raw_twap,"[4,8)","[-2,0)",165,0,0,165,0
fresh_3s,5,raw_twap,"[4,8)","[0,2)",193,0,0,193,0
fresh_3s,5,raw_twap,"[4,8)",>=2,79,0,0,79,0
fresh_3s,5,raw_twap,"[8,infinity)",<-2,75,0,0,75,0
fresh_3s,5,raw_twap,"[8,infinity)","[-2,0)",138,0,0,138,0
fresh_3s,5,raw_twap,"[8,infinity)","[0,2)",174,0,0,174,0
fresh_3s,5,raw_twap,"[8,infinity)",>=2,134,0,0,134,0
fresh_3s,5,projected_close,"[0,1)",<-2,7,0,0,7,0
fresh_3s,5,projected_close,"[0,1)","[-2,0)",109,0,1,109,0.0091743119266055045871559633027522935779816513761467889908256880733944954128440367
fresh_3s,5,projected_close,"[0,1)","[0,2)",109,0,1,109,0.0091743119266055045871559633027522935779816513761467889908256880733944954128440367
fresh_3s,5,projected_close,"[0,1)",>=2,16,0,0,16,0
fresh_3s,5,projected_close,"[1,2)",<-2,27,0,0,27,0
fresh_3s,5,projected_close,"[1,2)","[-2,0)",106,0,0,106,0
fresh_3s,5,projected_close,"[1,2)","[0,2)",116,0,0,116,0
fresh_3s,5,projected_close,"[1,2)",>=2,10,0,0,10,0
fresh_3s,5,projected_close,"[2,4)",<-2,29,0,0,29,0
fresh_3s,5,projected_close,"[2,4)","[-2,0)",149,0,0,149,0
fresh_3s,5,projected_close,"[2,4)","[0,2)",182,0,0,182,0
fresh_3s,5,projected_close,"[2,4)",>=2,29,0,0,29,0
fresh_3s,5,projected_close,"[4,8)",<-2,41,0,0,41,0
fresh_3s,5,projected_close,"[4,8)","[-2,0)",172,0,0,172,0
fresh_3s,5,projected_close,"[4,8)","[0,2)",217,0,0,217,0
fresh_3s,5,projected_close,"[4,8)",>=2,63,0,0,63,0
fresh_3s,5,projected_close,"[8,infinity)",<-2,64,0,0,64,0
fresh_3s,5,projected_close,"[8,infinity)","[-2,0)",155,0,0,155,0
fresh_3s,5,projected_close,"[8,infinity)","[0,2)",199,0,0,199,0
fresh_3s,5,projected_close,"[8,infinity)",>=2,107,0,0,107,0
fresh_3s,3,raw_twap,"[0,1)",<-2,13,0,7,13,0.53846153846153846153846153846153846153846153846153846153846153846153846153846154
fresh_3s,3,raw_twap,"[0,1)","[-2,0)",102,0,8,102,0.078431372549019607843137254901960784313725490196078431372549019607843137254901961
fresh_3s,3,raw_twap,"[0,1)","[0,2)",112,0,2,112,0.017857142857142857142857142857142857142857142857142857142857142857142857142857143
fresh_3s,3,raw_twap,"[0,1)",>=2,26,0,0,26,0
fresh_3s,3,raw_twap,"[1,2)",<-2,36,0,0,36,0
fresh_3s,3,raw_twap,"[1,2)","[-2,0)",94,0,0,94,0
fresh_3s,3,raw_twap,"[1,2)","[0,2)",102,0,0,102,0
fresh_3s,3,raw_twap,"[1,2)",>=2,17,0,0,17,0
fresh_3s,3,raw_twap,"[2,4)",<-2,38,0,0,38,0
fresh_3s,3,raw_twap,"[2,4)","[-2,0)",136,0,0,136,0
fresh_3s,3,raw_twap,"[2,4)","[0,2)",180,0,0,180,0
fresh_3s,3,raw_twap,"[2,4)",>=2,35,0,0,35,0
fresh_3s,3,raw_twap,"[4,8)",<-2,53,0,0,53,0
fresh_3s,3,raw_twap,"[4,8)","[-2,0)",164,0,0,164,0
fresh_3s,3,raw_twap,"[4,8)","[0,2)",191,0,0,191,0
fresh_3s,3,raw_twap,"[4,8)",>=2,84,0,0,84,0
fresh_3s,3,raw_twap,"[8,infinity)",<-2,79,0,0,79,0
fresh_3s,3,raw_twap,"[8,infinity)","[-2,0)",138,0,0,138,0
fresh_3s,3,raw_twap,"[8,infinity)","[0,2)",181,0,0,181,0
fresh_3s,3,raw_twap,"[8,infinity)",>=2,129,0,0,129,0
fresh_3s,3,projected_close,"[0,1)",<-2,10,0,0,10,0
fresh_3s,3,projected_close,"[0,1)","[-2,0)",111,0,0,111,0
fresh_3s,3,projected_close,"[0,1)","[0,2)",106,0,1,106,0.0094339622641509433962264150943396226415094339622641509433962264150943396226415094
fresh_3s,3,projected_close,"[0,1)",>=2,17,0,0,17,0
fresh_3s,3,projected_close,"[1,2)",<-2,32,0,0,32,0
fresh_3s,3,projected_close,"[1,2)","[-2,0)",99,0,0,99,0
fresh_3s,3,projected_close,"[1,2)","[0,2)",108,0,0,108,0
fresh_3s,3,projected_close,"[1,2)",>=2,15,0,0,15,0
fresh_3s,3,projected_close,"[2,4)",<-2,28,0,0,28,0
fresh_3s,3,projected_close,"[2,4)","[-2,0)",150,0,0,150,0
fresh_3s,3,projected_close,"[2,4)","[0,2)",181,0,0,181,0
fresh_3s,3,projected_close,"[2,4)",>=2,27,0,0,27,0
fresh_3s,3,projected_close,"[4,8)",<-2,42,0,0,42,0
fresh_3s,3,projected_close,"[4,8)","[-2,0)",176,0,0,176,0
fresh_3s,3,projected_close,"[4,8)","[0,2)",206,0,0,206,0
fresh_3s,3,projected_close,"[4,8)",>=2,73,0,0,73,0
fresh_3s,3,projected_close,"[8,infinity)",<-2,73,0,0,73,0
fresh_3s,3,projected_close,"[8,infinity)","[-2,0)",152,0,0,152,0
fresh_3s,3,projected_close,"[8,infinity)","[0,2)",186,0,0,186,0
fresh_3s,3,projected_close,"[8,infinity)",>=2,118,0,0,118,0
