t_sec,x_bin,y_bin,full_N,full_U,full_L,full_resolved,full_loss_rate,full_wilson_95_low,full_wilson_95_high,matched_N,matched_U,matched_L,matched_resolved,matched_loss_rate,matched_wilson_95_low,matched_wilson_95_high,matched_ask_eq_0_N,matched_ask_eq_1_N,median_bid,median_ask,ask_available_N,bid_available_N,ask_only_N,bid_only_N,paired_quote_N,crossed_quote_N,neither_available_N,ask_available_eq_0_N,ask_available_eq_1_N,excluded_no_quote_row_N,excluded_token_mismatch_N,excluded_quote_sample_stale_N,excluded_quote_received_stale_N,excluded_ask_price_missing_N,excluded_ask_price_invalid_N,excluded_ask_source_clock_missing_or_invalid_N,excluded_ask_source_age_N,excluded_ask_received_clock_missing_or_invalid_N,excluded_ask_received_age_N,excluded_bid_price_missing_N,excluded_bid_price_invalid_N,excluded_bid_source_clock_missing_or_invalid_N,excluded_bid_source_age_N,excluded_bid_received_clock_missing_or_invalid_N,excluded_bid_received_age_N,excluded_crossed_quote_N
90,"[0,1)",>=2,128,2,15,126,0.119047619047619047619047619047619047619047619047619047619048,0.0734866555936533738436691200889452842190558415746391575099850,0.187150117345164493683057631700581253057412924740885127365329,80,2,8,78,0.102564102564102564102564102564102564102564102564102564102564,0.0528933476574638596527049679563819370417454390695540542701238,0.189544398524023902420385892681774122711521867810258508155206,0,2,0.89000000,0.90000000,80,80,0,0,80,0,48,0,2,3,3,1,3,3,0,3,45,3,3,3,0,3,45,3,3,0
90,"[1,2)",<-2,119,1,90,118,0.762711864406779661016949152542372881355932203389830508474576,0.678437662067740205923286708713057097298250898819994651652897,0.830420329293322101889898974783398516203579182967191756207767,71,1,54,70,0.771428571428571428571428571428571428571428571428571428571429,0.660496684060150909894479755201041020143113455915462678842031,0.854119367774275620669371848413437913235967985616058577430589,0,0,0.28000000,0.29000000,71,71,0,0,71,0,48,0,0,4,4,0,2,4,0,4,44,4,2,4,0,4,44,4,2,0
90,"[1,2)","[-2,0)",340,1,116,339,0.342182890855457227138643067846607669616519174041297935103245,0.293699327868303894637312390955564087415327460302595024299466,0.394203061860002170341212863105650119979544290795609547849104,262,1,85,261,0.325670498084291187739463601532567049808429118773946360153257,0.271703347442007880208578381759817569202226561230796364909086,0.384694859979097513800524831788809581171705770888250775378704,0,0,0.67000000,0.68000000,262,262,0,0,262,0,78,0,0,5,5,6,7,5,0,5,73,5,7,5,0,5,73,5,7,0
90,"[1,2)","[0,2)",448,1,60,447,0.134228187919463087248322147651006711409395973154362416107383,0.105723516766690915834132599768759231155282187515380512326153,0.168966080646637443665894835783928517794806376325870146605893,372,1,44,371,0.118598382749326145552560646900269541778975741239892183288410,0.0895441628725082409310782506203669603315793192063908409140822,0.155469980199180636305313368809494325136113979702523786469172,0,1,0.89000000,0.90000000,372,372,0,0,372,0,76,0,1,8,8,3,9,8,0,8,68,8,9,8,0,8,68,8,9,0
90,"[1,2)",>=2,112,0,6,112,0.0535714285714285714285714285714285714285714285714285714285714,0.0247809390160419427728907186701153553052756909709929137886983,0.111970263722300804573030627775713862314486211790825073882496,75,0,3,75,0.04,0.0136960642601439249874578528834765185961039592109134435970841,0.111129870824037464193837551280267477634191938241237911150270,0,7,0.93000000,0.94000000,75,75,0,0,75,0,37,0,7,4,4,1,1,4,0,4,33,4,1,4,0,4,33,4,1,0
90,"[2,4)",<-2,192,1,110,191,0.575916230366492146596858638743455497382198952879581151832461,0.505010782889839441802275466806271012947215937063486895066285,0.643828176618710018728824946664315523500509372462310486053935,128,1,74,127,0.582677165354330708661417322834645669291338582677165354330709,0.495721009826252792119216198499431845289890140446272080183097,0.664778576385014683407116737565743236369624588603935618353217,0,0,0.44500000,0.45500000,128,128,0,0,128,0,64,0,0,6,6,4,5,6,0,6,58,6,5,6,0,6,58,6,5,0
90,"[2,4)","[-2,0)",493,0,96,493,0.194726166328600405679513184584178498985801217038539553752535,0.162187015439892226593624123534168744698485048128022286486145,0.231985925130616099346212170092139202400751870381009740642793,385,0,79,385,0.205194805194805194805194805194805194805194805194805194805195,0.167861922932000322744681716532515701112267401790951184998722,0.248352591105516012795300717625293987889196699054674508233438,0,1,0.83000000,0.84000000,385,385,0,0,385,0,108,0,1,23,23,1,5,23,0,23,85,23,5,23,0,23,85,23,5,0
90,"[2,4)","[0,2)",644,0,57,644,0.0885093167701863354037267080745341614906832298136645962732919,0.0689418331953144491727297029318504236979812313390823111974685,0.112956773657059927644792380955122498262632473695987393720665,557,0,47,557,0.0843806104129263913824057450628366247755834829443447037701975,0.0640477173965665179567668040179772786561241744512086637923335,0.110407036762353262207648150262414190141832285840703265650847,0,11,0.94000000,0.95000000,557,557,0,0,557,0,87,0,11,12,12,0,1,12,0,12,75,12,1,12,0,12,75,12,1,0
90,"[2,4)",>=2,226,0,13,226,0.0575221238938053097345132743362831858407079646017699115044248,0.0339209255001247138449335341972574757548610071418903088827505,0.0959140441080968292569245450563510019004418372924670808839799,153,0,11,153,0.0718954248366013071895424836601307189542483660130718954248366,0.0406166089221096680960874130349060127008697018044272824493576,0.124145049219803295802837813180362913491644151630887524424522,0,15,0.96000000,0.97000000,153,153,0,0,153,0,73,0,15,18,18,1,2,18,0,18,55,18,2,18,0,18,55,18,2,0
90,"[4,8)",<-2,246,1,86,245,0.351020408163265306122448979591836734693877551020408163265306,0.293973807057220753041000368667553630793841715570854331703823,0.412666716809016996564050346500057003946601791093400136965039,150,0,47,150,0.313333333333333333333333333333333333333333333333333333333333,0.244549141020204325935674023870351871638832586075580372209531,0.391439750210544269897611571008657127382379672428302146759699,0,0,0.69000000,0.70000000,150,150,0,0,150,0,96,0,0,11,11,0,1,11,0,11,85,11,1,11,0,11,85,11,1,0
