t_sec,x_bin,y_bin,ask_band,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high,median_bid,median_ask,ask_eq_0_N,ask_eq_1_N
15,"[2,4)","[-2,0)","(0,0.90)",1,0,1,1,1,0.206549314377237427355313009340764864545094252061342744002356,1,0.07000000,0.08000000,0,0
15,"[2,4)","[-2,0)","[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[2,4)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[2,4)","[-2,0)","[0.98,1)",3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888,0.99000000,0.99500000,0,0
15,"[2,4)","[-2,0)",ask=1,476,0,0,476,0,1E-62,0.00800568343997468361527807435754626024839609920906127982538537,0.99000000,1.00000000,0,476
15,"[2,4)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
15,"[2,4)","[0,2)","(0,0.90)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.50000000,0.51000000,0,0
15,"[2,4)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[2,4)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[2,4)","[0,2)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.98000000,0.99000000,0,0
15,"[2,4)","[0,2)",ask=1,576,0,0,576,0,0,0.00662501579053530438929858661908327684394137569224939623889688,0.99000000,1.00000000,0,576
15,"[2,4)",>=2,ask=0,0,0,0,0,,,,,,0,0
15,"[2,4)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
15,"[2,4)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[2,4)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[2,4)",>=2,"[0.98,1)",0,0,0,0,,,,,,0,0
15,"[2,4)",>=2,ask=1,162,1,0,161,0,0,0.0233039603518230327975463198982545716919069156739933265700388,0.99000000,1.00000000,0,162
15,"[4,8)",<-2,ask=0,0,0,0,0,,,,,,0,0
15,"[4,8)",<-2,"(0,0.90)",2,1,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.84500000,0.85500000,0,0
15,"[4,8)",<-2,"[0.90,0.95)",1,0,1,1,1,0.206549314377237427355313009340764864545094252061342744002356,1,0.91000000,0.94000000,0,0
15,"[4,8)",<-2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[4,8)",<-2,"[0.98,1)",8,0,0,8,0,0,0.324407564883880212890280277144521794238395570390205804016566,0.98000000,0.99000000,0,0
15,"[4,8)",<-2,ask=1,189,1,0,188,0,0,0.0200241326578139173855221992182628421418761324651039342189260,0.99000000,1.00000000,0,189
15,"[4,8)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
15,"[4,8)","[-2,0)","(0,0.90)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.88000000,0.89000000,0,0
15,"[4,8)","[-2,0)","[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[4,8)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[4,8)","[-2,0)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,0.99900000,0,0
15,"[4,8)","[-2,0)",ask=1,589,2,0,587,0,0,0.00650167445656502832224764522387829984618414789255268809457898,0.99000000,1.00000000,0,589
15,"[4,8)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
15,"[4,8)","[0,2)","(0,0.90)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.49000000,0.50000000,0,0
15,"[4,8)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[4,8)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[4,8)","[0,2)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.98000000,0.99000000,0,0
15,"[4,8)","[0,2)",ask=1,688,1,0,687,0,0,0.00556055050206702259914810621029965123976373928386867785057676,0.99000000,1.00000000,0,688
15,"[4,8)",>=2,ask=0,0,0,0,0,,,,,,0,0
15,"[4,8)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
15,"[4,8)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
15,"[4,8)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
15,"[4,8)",>=2,"[0.98,1)",0,0,0,0,,,,,,0,0
