utc_market_start_date,t_sec,subset,all_market_rows,N,U,n,projected_correct,projected_errors,projected_accuracy,projected_ties,twap_correct,twap_errors,twap_accuracy,twap_ties,spot_correct,spot_errors,spot_accuracy,spot_ties,both_correct,both_wrong,projected_improves_twap_count,projected_worsens_twap_count
2026-09-02,15,fresh_3s,288,263,0,263,263,0,1,0,256,7,0.97338403041825095057034220532319391634980988593155893536121673003802281368821293,0,253,10,0.96197718631178707224334600760456273764258555133079847908745247148288973384030418,0,256,0,7,0
2026-09-02,10,primary_600s,288,270,0,270,270,0,1,0,266,4,0.98518518518518518518518518518518518518518518518518518518518518518518518518518519,0,259,11,0.95925925925925925925925925925925925925925925925925925925925925925925925925925926,0,266,0,4,0
2026-09-02,10,fresh_3s,288,270,0,270,270,0,1,0,266,4,0.98518518518518518518518518518518518518518518518518518518518518518518518518518519,0,259,11,0.95925925925925925925925925925925925925925925925925925925925925925925925925925926,0,266,0,4,0
2026-09-02,5,primary_600s,288,270,0,270,270,0,1,0,269,1,0.99629629629629629629629629629629629629629629629629629629629629629629629629629630,0,254,16,0.94074074074074074074074074074074074074074074074074074074074074074074074074074074,0,269,0,1,0
2026-09-02,5,fresh_3s,288,267,0,267,267,0,1,0,266,1,0.99625468164794007490636704119850187265917602996254681647940074906367041198501873,0,251,16,0.94007490636704119850187265917602996254681647940074906367041198501872659176029963,0,266,0,1,0
2026-09-02,3,primary_600s,288,270,0,270,270,0,1,0,269,1,0.99629629629629629629629629629629629629629629629629629629629629629629629629629630,0,250,20,0.92592592592592592592592592592592592592592592592592592592592592592592592592592593,0,269,0,1,0
2026-09-02,3,fresh_3s,288,267,0,267,267,0,1,0,266,1,0.99625468164794007490636704119850187265917602996254681647940074906367041198501873,0,248,19,0.92883895131086142322097378277153558052434456928838951310861423220973782771535581,0,266,0,1,0
2026-09-03,60,primary_600s,288,276,0,276,262,14,0.94927536231884057971014492753623188405797101449275362318840579710144927536231884,0,248,28,0.89855072463768115942028985507246376811594202898550724637681159420289855072463768,0,262,14,0.94927536231884057971014492753623188405797101449275362318840579710144927536231884,0,242,8,20,6
2026-09-03,60,fresh_3s,288,269,0,269,257,12,0.95539033457249070631970260223048327137546468401486988847583643122676579925650558,0,244,25,0.90706319702602230483271375464684014869888475836431226765799256505576208178438662,0,257,12,0.95539033457249070631970260223048327137546468401486988847583643122676579925650558,0,238,6,19,6
2026-09-03,30,primary_600s,288,276,0,276,271,5,0.98188405797101449275362318840579710144927536231884057971014492753623188405797101,0,262,14,0.94927536231884057971014492753623188405797101449275362318840579710144927536231884,0,267,9,0.96739130434782608695652173913043478260869565217391304347826086956521739130434783,0,262,5,9,0
2026-09-03,30,fresh_3s,288,272,0,272,267,5,0.98161764705882352941176470588235294117647058823529411764705882352941176470588235,0,258,14,0.94852941176470588235294117647058823529411764705882352941176470588235294117647059,0,263,9,0.96691176470588235294117647058823529411764705882352941176470588235294117647058824,0,258,5,9,0
2026-09-03,15,primary_600s,288,276,0,276,274,2,0.99275362318840579710144927536231884057971014492753623188405797101449275362318841,0,269,7,0.97463768115942028985507246376811594202898550724637681159420289855072463768115942,0,263,13,0.95289855072463768115942028985507246376811594202898550724637681159420289855072464,0,268,1,6,1
2026-09-03,15,fresh_3s,288,273,0,273,271,2,0.99267399267399267399267399267399267399267399267399267399267399267399267399267399,0,266,7,0.97435897435897435897435897435897435897435897435897435897435897435897435897435897,0,261,12,0.95604395604395604395604395604395604395604395604395604395604395604395604395604396,0,265,1,6,1
2026-09-03,10,primary_600s,288,276,0,276,275,1,0.99637681159420289855072463768115942028985507246376811594202898550724637681159420,0,269,7,0.97463768115942028985507246376811594202898550724637681159420289855072463768115942,0,259,17,0.93840579710144927536231884057971014492753623188405797101449275362318840579710145,0,268,0,7,1
2026-09-03,10,fresh_3s,288,269,0,269,268,1,0.99628252788104089219330855018587360594795539033457249070631970260223048327137546,0,262,7,0.97397769516728624535315985130111524163568773234200743494423791821561338289962825,0,253,16,0.94052044609665427509293680297397769516728624535315985130111524163568773234200743,0,261,0,7,1
2026-09-03,5,primary_600s,288,276,0,276,276,0,1,0,272,4,0.98550724637681159420289855072463768115942028985507246376811594202898550724637681,0,258,18,0.93478260869565217391304347826086956521739130434782608695652173913043478260869565,0,272,0,4,0
