t_sec,period,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
60,post,"[4,8)",<-2,11,0,2,11,0.181818181818181818181818181818181818181818181818181818181818,0.051367689746085094133963649924377303658571388552538605220008,0.476980561960844163535145158696847971365613942692265986609726
60,post,"[4,8)","[-2,0)",45,0,1,45,0.0222222222222222222222222222222222222222222222222222222222222,0.0039335988828334241003541137294427786947992694953359655362102,0.115666817684148786112255917786296751531581779074925282833291
60,post,"[4,8)","[0,2)",75,0,0,75,0,0,0.0487238424828058578057558740910260828590172798392949508123418
60,post,"[4,8)",>=2,36,0,0,36,0,0,0.0964186285944636615382445947927992309228324969090787481472514
60,post,"[8,infinity)",<-2,23,0,2,23,0.0869565217391304347826086956521739130434782608695652173913043,0.024180004484220365222411755371310499199468506027457807187888,0.267959810757436588637847951420241526993836058680457503333296
60,post,"[8,infinity)","[-2,0)",34,0,0,34,0,0,0.101514554153323765588772493480518861287464008360250122371569
60,post,"[8,infinity)","[0,2)",55,0,0,55,0,0,0.0652849011170863617082752164831945160186431362702498605244216
60,post,"[8,infinity)",>=2,39,0,0,39,0,0,0.0896668537075714133476580181364055496168425388921970053236772
30,pre,"[0,1)",<-2,73,0,69,73,0.945205479452054794520547945205479452054794520547945205479452,0.867410024578402478523897698961669514059813817601450060228541,0.978487502584302699139836734278215774660320545546026480256945
30,pre,"[0,1)","[-2,0)",360,0,153,360,0.425,0.374990750092096012747987163139434464379101198409175426537494,0.476592958441208013496921094318232359386961128424484433551764
30,pre,"[0,1)","[0,2)",385,2,17,383,0.0443864229765013054830287206266318537859007832898172323759791,0.0278946948073720776296526182415546472965710847208587444965694,0.0699269268359123266263924767658804353242679975931889401848780
30,pre,"[0,1)",>=2,82,1,0,81,0,0,0.0452780854324152035187848194765541013214338186721689752847054
30,pre,"[1,2)",<-2,86,0,69,86,0.802325581395348837209302325581395348837209302325581395348837,0.706040887205376613173640419321456730658400576588109578929917,0.872756481877662974271214856441787248458288270140986649679645
30,pre,"[1,2)","[-2,0)",230,1,30,229,0.131004366812227074235807860262008733624454148471615720524017,0.0933285571434445473862025448844723506921587047091144940806080,0.180855684546335322928428616633878454729558350799930713302962
30,pre,"[1,2)","[0,2)",330,1,4,329,0.0121580547112462006079027355623100303951367781155015197568389,0.0047379109488932946310779025789854811020123680964990914442827,0.0308389635866592840284059676062376890542855881024265452674015
30,pre,"[1,2)",>=2,108,0,1,108,0.00925925925925925925925925925925925925925925925925925925925926,0.0016363608538834913209211064938619546210545915369697964810942,0.0505934551936632230042373624989550842316808692593970072365074
30,pre,"[2,4)",<-2,134,0,63,134,0.470149253731343283582089552238805970149253731343283582089552,0.387656320504840643071799608192846970308013398137973291288379,0.554305988451810062624307305439976476254081894488319262409625
30,pre,"[2,4)","[-2,0)",477,0,8,477,0.0167714884696016771488469601677148846960167714884696016771488,0.0085223313217668980508431527753510415874312930729285834188135,0.0327417037499114967778994329625591201288963803049893456579081
30,pre,"[2,4)","[0,2)",577,0,0,577,0,0,0.00661360989708550426390142351870700558836766589529171494163587
30,pre,"[2,4)",>=2,164,2,0,162,0,0,0.0231634408429044637303637564969273466890795996273615771637198
30,pre,"[4,8)",<-2,230,3,17,227,0.0748898678414096916299559471365638766519823788546255506607930,0.0472803876826710546177965610127797647955505525501393469462554,0.116647959564897852707007840278082239175213262465885037475200
30,pre,"[4,8)","[-2,0)",510,2,1,508,0.00196850393700787401574803149606299212598425196850393700787402,0.00034757383791077858657701307093136361748791108611913806722795,0.0110650593515794014475039583772063412816702241832955150546385
30,pre,"[4,8)","[0,2)",620,2,0,618,0,0,0.00617755340401289752758463765466475040892437725502115947260798
30,pre,"[4,8)",>=2,277,0,0,277,0,0,0.0136783893547096997757671775033450724802232840224746227545337
30,pre,"[8,infinity)",<-2,439,1,1,438,0.00228310502283105022831050228310502283105022831050228310502283,0.00040313785047359895589700153994479303940130827463089271617479,0.0128175744753579080108679639112335155327665607728139778920738
30,pre,"[8,infinity)","[-2,0)",426,3,0,423,0,0,0.00899973219871275412227870443874325509272010863127146510935650
30,pre,"[8,infinity)","[0,2)",592,1,0,591,0,0,0.00645795407117390272613254990935949658017641077455260212122449
30,pre,"[8,infinity)",>=2,604,8,0,596,0,1E-62,0.00640412356332712576645605507927208606331271892976362330214065
30,post,"[0,1)",<-2,9,0,9,9,1,0.700854951580455952598603375502087507544850209420894358394160,1
30,post,"[0,1)","[-2,0)",57,0,17,57,0.298245614035087719298245614035087719298245614035087719298246,0.195325500748180924647710827640811010450501006003511845687605,0.426642801034600050192205578566064656348210477156277475699425
30,post,"[0,1)","[0,2)",73,0,2,73,0.0273972602739726027397260273972602739726027397260273972602740,0.0075457586796076431117843710157989720962385653342654681185572,0.0945014817169053221374821536987843368008495722476440504430100
30,post,"[0,1)",>=2,9,0,0,9,0,0,0.299145048419544047401396624497912492455149790579105641605840
30,post,"[1,2)",<-2,9,0,8,9,0.888888888888888888888888888888888888888888888888888888888889,0.565000294423343983366694220495815206854206273521955333709475,0.980109112361455090876663960450252854569566111583184722819317
30,post,"[1,2)","[-2,0)",55,0,6,55,0.109090909090909090909090909090909090909090909090909090909091,0.0509672500078233445654073931337190777071192656785700883380400,0.218255490865535083679244139753142089362001731769079802617418
30,post,"[1,2)","[0,2)",49,0,1,49,0.0204081632653061224489795918367346938775510204081632653061224,0.0036116725898252489037101426424432754795125540215638691229312,0.106935215233916171275511467236521842651120275886513368927824
30,post,"[1,2)",>=2,8,0,0,8,0,0,0.324407564883880212890280277144521794238395570390205804016566
30,post,"[2,4)",<-2,7,0,2,7,0.285714285714285714285714285714285714285714285714285714285714,0.082218924004056765947248749487853093510976457849667296896903,0.641065548167380691532554181912344651606347591552555757252367
30,post,"[2,4)","[-2,0)",53,0,0,53,0,1E-61,0.0675819885765418623175236146915175279342690912177879901825493
30,post,"[2,4)","[0,2)",81,0,0,81,0,0,0.0452780854324152035187848194765541013214338186721689752847054
30,post,"[2,4)",>=2,16,0,0,16,0,0,0.193607680534436484397123030315166534447518308110879063675717
30,post,"[4,8)",<-2,20,0,0,20,0,0,0.161125158052819354664367409458698834644472493370427941636724
30,post,"[4,8)","[-2,0)",55,0,0,55,0,0,0.0652849011170863617082752164831945160186431362702498605244216
30,post,"[4,8)","[0,2)",76,0,0,76,0,0,0.0481135850651373179806680027772221016786979542922821152437366
30,post,"[4,8)",>=2,24,0,0,24,0,0,0.137976204674980184720288987191152453368712544577434277225593
30,post,"[8,infinity)",<-2,26,0,0,26,0,0,0.128728921859215295149407654933370962769244819176962274963284
30,post,"[8,infinity)","[-2,0)",39,0,0,39,0,0,0.0896668537075714133476580181364055496168425388921970053236772
30,post,"[8,infinity)","[0,2)",67,0,0,67,0,1E-61,0.0542261393913017856485245130017028349262980784039413836676687
30,post,"[8,infinity)",>=2,34,0,0,34,0,0,0.101514554153323765588772493480518861287464008360250122371569
15,pre,"[0,1)",<-2,88,0,81,88,0.920454545454545454545454545454545454545454545454545454545455,0.844801187426776528350457556991026983317937618880758699967875,0.960935142877745938961852912804485057070705640389260995658789
15,pre,"[0,1)","[-2,0)",353,0,112,353,0.317280453257790368271954674220963172804532577903682719546742,0.270917853268553494137939017176887487150190384659200555589654,0.367577067062943119840962595397568326338690787562221427108398
15,pre,"[0,1)","[0,2)",378,0,8,378,0.0211640211640211640211640211640211640211640211640211640211640,0.0107623022692036518661247082677032779954313031945601306642118,0.0412002553901292936997509729123780927004518518883069742932470
