t_sec,leader,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
120,Down,"[4,8)",>=2,165,1,12,164,0.0731707317073170731707317073170731707317073170731707317073171,0.0423492978013665615913406033339711683581935396868606739015715,0.123530211446925277790438616499951842632669090553281404169311
120,Down,"[8,infinity)",<-2,177,4,29,173,0.167630057803468208092485549132947976878612716763005780346821,0.119324433078496639216792724233097007172974805832034592095385,0.230375570716413185581641096861353425248609855888935146160063
120,Down,"[8,infinity)","[-2,0)",161,1,9,160,0.05625,0.0298723017557641515214156554547567496729583589949212014060749,0.103436196458946704707986857894313046580646965573633743387612
120,Down,"[8,infinity)","[0,2)",239,2,6,237,0.0253164556962025316455696202531645569620253164556962025316456,0.0116532597116095152317473409780733740473895378886427074060373,0.0541222047713890379594922422619365801491151668425600459841965
120,Down,"[8,infinity)",>=2,272,2,8,270,0.0296296296296296296296296296296296296296296296296296296296296,0.0150887338744319822780197883234363863481788455474567999313631,0.0573672737225985056210727099641954910379965057670941659635169
90,Up,"[0,1)",<-2,54,0,45,54,0.833333333333333333333333333333333333333333333333333333333333,0.712634857702708427104029894828527666779507195272782951104674,0.909756083570027315870951506745540761416135191818436756605164
90,Up,"[0,1)","[-2,0)",233,0,118,233,0.506437768240343347639484978540772532188841201716738197424893,0.442660570299434443178178563342910437389307640444675434882004,0.570006130940027242238395327270725555742736652721484454663594
90,Up,"[0,1)","[0,2)",242,0,61,242,0.252066115702479338842975206611570247933884297520661157024793,0.201525988486038562929902330025376029737263432349194598264388,0.310354552023108485488034591939208885431066648304435367532818
90,Up,"[0,1)",>=2,65,1,12,64,0.1875,0.110646431729488053404297482029940163006703246192443680638583,0.299743605641015280887334417731367321334439531390466785918541
90,Up,"[1,2)",<-2,69,1,56,68,0.823529411764705882352941176470588235294117647058823529411765,0.716395595922566550655852335677047891744775698568833399758076,0.896064127505623104986285696890260709790379612263369887673000
90,Up,"[1,2)","[-2,0)",174,0,54,174,0.310344827586206896551724137931034482758620689655172413793103,0.246324286008089289399111132848272379118932896280801966337422,0.382558650301247501301359062792825706846364509318006605920614
90,Up,"[1,2)","[0,2)",190,0,29,190,0.152631578947368421052631578947368421052631578947368421052632,0.108422579241920913491040577491761334997197679934243401479496,0.210608546487989529326837444027286949800449797015375369569198
90,Up,"[1,2)",>=2,52,0,1,52,0.0192307692307692307692307692307692307692307692307692307692308,0.0034028080709451573707650711875121422990659645141117025308018,0.101205111278922465937668607090375054437645865593848316814214
90,Up,"[2,4)",<-2,95,0,56,95,0.589473684210526315789473684210526315789473684210526315789474,0.488954190988169748973390592588231245969668077907148685233141,0.683038414167924563181616042118844988866829326501865800835165
90,Up,"[2,4)","[-2,0)",237,0,43,237,0.181434599156118143459915611814345991561181434599156118143460,0.137580370935015790813308314432332742857528559804299950413746,0.235451163006907682661701361430962826403236819815307230750368
90,Up,"[2,4)","[0,2)",315,0,27,315,0.0857142857142857142857142857142857142857142857142857142857143,0.0595753391770406776985356996698240493253879727453531727466040,0.121836008753161352597357305794395636198640254915837487635515
90,Up,"[2,4)",>=2,125,0,10,125,0.08,0.0440330323275828292694279105991043096500727760464807920360067,0.141011898387411388894379199560502634034666760195157126741303
90,Up,"[4,8)",<-2,113,0,37,113,0.327433628318584070796460176991150442477876106194690265486726,0.247828188304555563284340776418418367487137971923517832966468,0.418386181204047333175866537787075339019071582201712975615370
90,Up,"[4,8)","[-2,0)",275,2,27,273,0.0989010989010989010989010989010989010989010989010989010989011,0.0688633403028008096402927500663786773418241682204383139555291,0.140070173727542209097443397776750106022317348087139057171333
90,Up,"[4,8)","[0,2)",300,0,12,300,0.04,0.0230273214879423095287656418918679834905702416709730127720698,0.0686042120386400431727441889232752100665789405079374232278130
90,Up,"[4,8)",>=2,184,0,3,184,0.0163043478260869565217391304347826086956521739130434782608696,0.0055601790562595682422560952990620105373767601949336828942706,0.0468321888612425227420960304249177053473579286025584968522616
90,Up,"[8,infinity)",<-2,197,1,22,196,0.112244897959183673469387755102040816326530612244897959183673,0.0753025338733350351361210396423842186014285707726043285512186,0.164094531695623933187806198703646506806543195439276733138497
90,Up,"[8,infinity)","[-2,0)",174,2,1,172,0.00581395348837209302325581395348837209302325581395348837209302,0.0010270438601417488899981208677005110296811354840659097961824,0.0321929877516903155245856284074546118499091705482457563552402
90,Up,"[8,infinity)","[0,2)",246,2,2,244,0.00819672131147540983606557377049180327868852459016393442622951,0.0022507222222029461441760335079435542554077155282971871731623,0.0293882894992668895981325700805687797902183220110737481266683
90,Up,"[8,infinity)",>=2,344,1,2,343,0.00583090379008746355685131195335276967930029154518950437317784,0.00160050325428159384380577338497490575029734672281384120736845,0.0210076902625952537854184404276217404600527393375225544004900
90,Down,"[0,1)",<-2,61,0,53,61,0.868852459016393442622950819672131147540983606557377049180328,0.761981198070065396020935209040609081897203604900535524765081,0.932019227250998916985824216171436038528672578721638851629231
90,Down,"[0,1)","[-2,0)",248,1,132,247,0.534412955465587044534412955465587044534412955465587044534413,0.472154962627682624404825708745372168488226165622653578832685,0.595616928350482584759677831680183833021021724288454138557317
90,Down,"[0,1)","[0,2)",250,1,63,249,0.253012048192771084337349397590361445783132530120481927710843,0.203047342467029106527890141323968181964978868981899441197944,0.310481805111465598178160141327907454385379782833760826314636
90,Down,"[0,1)",>=2,63,1,3,62,0.0483870967741935483870967741935483870967741935483870967741935,0.0165916858505807189660851895339935451466141943030451462009802,0.132880379273239584817823453486118915198214671006581720144103
90,Down,"[1,2)",<-2,50,0,34,50,0.68,0.541897026918559303028512727549587597736534350246404552195545,0.792417837393431559983316341088026522768457287304124927384659
90,Down,"[1,2)","[-2,0)",166,1,62,165,0.375757575757575757575757575757575757575757575757575757575758,0.305476485692471037916501735598456154543720443289344412366877,0.451692160643728364757497213643851085030146993981426952938061
90,Down,"[1,2)","[0,2)",258,1,31,257,0.120622568093385214007782101167315175097276264591439688715953,0.0862927019516721792672582935120793542251579161793731265647106,0.166126752832754617829445014863069561824565315160157634175353
90,Down,"[1,2)",>=2,60,0,5,60,0.0833333333333333333333333333333333333333333333333333333333333,0.0361204566017307648335822307374056124152846934136106162433557,0.180689420183344114064426460424823011042468555842757177913484
90,Down,"[2,4)",<-2,97,1,54,96,0.5625,0.462758826275540729351464228050338633988581750984674226356300,0.657431725242249810973158699622909939488806191616044390743078
90,Down,"[2,4)","[-2,0)",256,0,53,256,0.20703125,0.161907277285564769064675799951852225626525500790938962161972,0.260817638588969271115031363613287846691439984565392727315146
90,Down,"[2,4)","[0,2)",329,0,30,329,0.0911854103343465045592705167173252279635258358662613981762918,0.0646194285195956361128326699761596763825728788956077991553185,0.127187983474372101143868766409588089262424473806918668992478
90,Down,"[2,4)",>=2,101,0,3,101,0.0297029702970297029702970297029702970297029702970297029702970,0.0101524806505855342769736443613366718373708886044057021614161,0.0837174342799721591697023425947863258666637321591629420486015
