t_sec,utc_market_start_date,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
10,2026-08-26,272,0,6,272,0.0220588235294117647058823529411764705882352941176470588235294,0.0101480483937465061186083079439317424857401385196980066639408,0.0472815304970452001672833606937911023257949211753321475490420
10,2026-08-27,270,0,6,270,0.0222222222222222222222222222222222222222222222222222222222222,0.0102235073499663711841062977186640655429541238459674609925345,0.0476255082407181401464679721955446918020586345758992681447845
10,2026-08-28,268,0,4,268,0.0149253731343283582089552238805970149253731343283582089552239,0.0058190924579965886823032951226214646028140530004511496259246,0.0377410726178711013438340012661239211226199333330187985629612
10,2026-08-29,269,0,7,269,0.0260223048327137546468401486988847583643122676579925650557621,0.0126611976522722064810433181069750894061092625271297126106510,0.0527301065058659086002550654720841642756496282706406220218332
10,2026-08-30,272,0,4,272,0.0147058823529411764705882352941176470588235294117647058823529,0.0057333003876935111705381803763174019652697710030889987135298,0.0371951951014180675197518216250627173818273665334031578719602
10,2026-08-31,276,0,6,276,0.0217391304347826086956521739130434782608695652173913043478261,0.0100004236692008232676162335685524832438308948809518071717768,0.0466082678644021229676358202755892377273198799896337939129262
10,2026-09-01,268,0,8,268,0.0298507462686567164179104477611940298507462686567164179104478,0.0152019043616921370985936985412987991231577279891896757600329,0.0577871787118411624652009118047159593491859818417119663307335
10,2026-09-02,270,0,4,270,0.0148148148148148148148148148148148148148148148148148148148148,0.0057758778595820591681240866574190934937742702778924907972805,0.0374661457247564755939319548833665438100758952512900015824777
10,2026-09-03,269,0,7,269,0.0260223048327137546468401486988847583643122676579925650557621,0.0126611976522722064810433181069750894061092625271297126106510,0.0527301065058659086002550654720841642756496282706406220218332
10,2026-09-04,271,0,2,271,0.00738007380073800738007380073800738007380073800738007380073801,0.0020262210505267525832327253749298454732729039047352075448282,0.0265046230744488501857703012450574255596747050181751964817718
10,2026-09-05,277,0,6,277,0.0216606498194945848375451263537906137184115523465703971119134,0.0099641861656843203407727537385404177649426770918284233508826,0.0464429372242004104916398889993167815392420531101779846994838
10,2026-09-06,274,0,7,274,0.0255474452554744525547445255474452554744525547445255474452555,0.0124291449547206641111442937405519632358416096341521910519874,0.0517853855060057446313367695824484271947321647918331520094984
10,2026-09-07,273,0,9,273,0.0329670329670329670329670329670329670329670329670329670329670,0.0174392270449045603985969914901372382767660063883930438396488,0.0614559605246729271727396190121360026266864441067312924039566
10,2026-09-08,266,0,8,266,0.0300751879699248120300751879699248120300751879699248120300752,0.0153167853693953620952756323073987859756041138765370189008900,0.0582132752351112896718032982736173449956961980098000412697202
10,2026-09-09,245,0,12,245,0.0489795918367346938775510204081632653061224489795918367346939,0.0282372998230507947830895013537262033777022176758437151705483,0.0836470258541895156650777322358895538502157956501869365529869
10,2026-09-10,267,0,5,267,0.0187265917602996254681647940074906367041198501872659176029963,0.0080247483800954329071804770050669910837809431360818160871418,0.0430806432426015264806079283220700432502846129861670015613962
10,2026-09-11,280,0,4,280,0.0142857142857142857142857142857142857142857142857142857142857,0.0055690880340429908881669587277849382570475874039984755591092,0.0361494786259970039470519249957325327941851505294807730636454
10,2026-09-12,248,0,10,248,0.0403225806451612903225806451612903225806451612903225806451613,0.0220474549357162598002032287766672247076907558491845621992173,0.0726210676035720283154612276000289984018959389624563647496009
15,2026-08-16,256,0,13,256,0.05078125,0.0299138113865535311878761484493111042990181521548470384748385,0.0849310596210653304210081690172370065885289253915282187234101
15,2026-08-17,269,1,8,268,0.0298507462686567164179104477611940298507462686567164179104478,0.0152019043616921370985936985412987991231577279891896757600329,0.0577871787118411624652009118047159593491859818417119663307335
15,2026-08-18,261,0,9,261,0.0344827586206896551724137931034482758620689655172413793103448,0.0182456440578155099661521730155854122621181174015052379674120,0.0642242944403010916185959686582211541210198683669393234604146
15,2026-08-19,258,0,7,258,0.0271317829457364341085271317829457364341085271317829457364341,0.0132035212523351714709933238541142239337875729505708353639438,0.0549348816615889408610896207675807069059358681117444886960346
15,2026-08-20,270,4,13,266,0.0488721804511278195488721804511278195488721804511278195488722,0.0287805388955572485213346341508580561048644330328987616042950,0.0818083192847691371750611392069174296275838663779848161594908
15,2026-08-21,255,22,12,233,0.0515021459227467811158798283261802575107296137339055793991416,0.0297036237089605873584373600532106066804303727636261900219119,0.0878495232752086619535815938634818717871505366605681716349017
15,2026-08-22,270,0,15,270,0.0555555555555555555555555555555555555555555555555555555555556,0.0339530272861832433137532097347501514020787083996334027495800,0.0896274523330581625751530878598626461281657180393123917967634
