t_sec,utc_market_start_date,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
90,2026-08-24,"[1,2)","[0,2)",10,0,2,10,0.2,0.056682151454375262761345565444990352367463172866835521618743,0.509837528463358259954272990780986250716736945475725385948003
90,2026-08-24,"[1,2)",>=2,6,0,1,6,0.166666666666666666666666666666666666666666666666666666666667,0.030053369748306669995961946390895487521438424174221601471187,0.563502822186470213269842757037262917935645358316977255355995
90,2026-08-24,"[2,4)",<-2,10,0,8,10,0.8,0.490162471536641740045727009219013749283263054524274614051997,0.943317848545624737238654434555009647632536827133164478381257
90,2026-08-24,"[2,4)","[-2,0)",15,0,4,15,0.266666666666666666666666666666666666666666666666666666666667,0.108974533256923727565232658603039436468557973850178938979251,0.519504340559805613924286986412361892113901959605876027178425
90,2026-08-24,"[2,4)","[0,2)",8,0,1,8,0.125,0.022417491450056672799680864765156704300662439077102905272333,0.470888182212853486868029343093234641378134238715551447740093
90,2026-08-24,"[2,4)",>=2,7,0,3,7,0.428571428571428571428571428571428571428571428571428571428571,0.158219855251469707611507071804452675421473342123943463411485,0.749541635472342778215093905328946572950968007676797554638273
90,2026-08-24,"[4,8)",<-2,10,0,5,10,0.5,0.236593090512564000563261842509355395776780619409009427978220,0.763406909487435999436738157490644604223219380590990572021780
90,2026-08-24,"[4,8)","[-2,0)",15,0,2,15,0.133333333333333333333333333333333333333333333333333333333333,0.037361259103065351046643193402398148733014991019704808316858,0.378819828323223614151173391621803939039422047268381567073774
90,2026-08-24,"[4,8)","[0,2)",10,0,1,10,0.1,0.017876213095072907017716328005121013219916667655301041770911,0.404150026795238456603108413629514457559016823468113501651417
90,2026-08-24,"[4,8)",>=2,26,0,0,26,0,0,0.128728921859215295149407654933370962769244819176962274963284
90,2026-08-24,"[8,infinity)",<-2,26,0,4,26,0.153846153846153846153846153846153846153846153846153846153846,0.061500337235783556095747511313141847554567688565456285858741,0.335311993282134725161534711333038049747217186249363750654303
90,2026-08-24,"[8,infinity)","[-2,0)",23,0,1,23,0.0434782608695652173913043478260869565217391304347826086956522,0.007716666143453142247303765539798097228280361609254735613374,0.209911550702588754124562226177180458038003630962651660225830
90,2026-08-24,"[8,infinity)","[0,2)",31,0,3,31,0.0967741935483870967741935483870967741935483870967741935483871,0.033464644163197389148184255619828959110743648739070539136776,0.248999384433928374983389741165239285973330834602677092782202
90,2026-08-24,"[8,infinity)",>=2,42,0,1,42,0.0238095238095238095238095238095238095238095238095238095238095,0.0042154041344325047150715179806107633710645594916892225760324,0.123212015737666462505965813425084581537894512298795833607735
90,2026-08-25,"[0,1)",<-2,6,0,6,6,1,0.609665712097834675101292944857762391814374326263201714759228,1
90,2026-08-25,"[0,1)","[-2,0)",2,0,1,2,0.5,0.094531205734230729793326600900495328768115141516490687279156,0.905468794265769270206673399099504671231884858483509312720844
90,2026-08-25,"[0,1)","[0,2)",7,0,2,7,0.285714285714285714285714285714285714285714285714285714285714,0.082218924004056765947248749487853093510976457849667296896903,0.641065548167380691532554181912344651606347591552555757252367
90,2026-08-25,"[0,1)",>=2,5,0,1,5,0.2,0.036224108632430171022883644562917213075316655041469013721231,0.624465370237474685627986078352416550010096484288669471955965
90,2026-08-25,"[1,2)",<-2,7,0,5,7,0.714285714285714285714285714285714285714285714285714285714286,0.358934451832619308467445818087655348393652408447444242747635,0.917781075995943234052751250512146906489023542150332703103099
90,2026-08-25,"[1,2)","[-2,0)",3,0,2,3,0.666666666666666666666666666666666666666666666666666666666667,0.207659600802047752945264855140917075218944785512027051294273,0.938508055279603758126555557060812609219789224671009857326435
90,2026-08-25,"[1,2)","[0,2)",5,0,4,5,0.8,0.375534629762525314372013921647583449989903515711330528044035,0.963775891367569828977116355437082786924683344958530986278769
90,2026-08-25,"[1,2)",>=2,7,0,1,7,0.142857142857142857142857142857142857142857142857142857142857,0.025679624344743560607128914884008804252331158419792918804746,0.513127829274318868525875970782987437609875590583912171444036
90,2026-08-25,"[2,4)",<-2,13,0,8,13,0.615384615384615384615384615384615384615384615384615384615385,0.355228915126656875288476280271796924866254043412123812790171,0.822902922022374269763042171489012177390346652298183463339103
90,2026-08-25,"[2,4)","[-2,0)",11,0,5,11,0.454545454545454545454545454545454545454545454545454545454545,0.212712716224597650615783745391506803188695294069402798042938,0.719908462590677957622660370125811093243331181822712143647020
90,2026-08-25,"[2,4)","[0,2)",9,0,1,9,0.111111111111111111111111111111111111111111111111111111111111,0.019890887638544909123336039549747145430433888416815277180683,0.434999705576656016633305779504184793145793726478044666290525
90,2026-08-25,"[2,4)",>=2,13,0,0,13,0,1E-60,0.228095372354198371443420042369827223554730318588668470106495
90,2026-08-25,"[4,8)",<-2,14,0,5,14,0.357142857142857142857142857142857142857142857142857142857143,0.163447317535541338500216372646456652210237362581367019688061,0.612355768960926033356759836219051052292778338384994527676529
90,2026-08-25,"[4,8)","[-2,0)",15,0,3,15,0.2,0.070475493469815601292869981180142450272527228424155432722199,0.451854487151693552050798133839659257904921257447915238051955
90,2026-08-25,"[4,8)","[0,2)",14,0,1,14,0.0714285714285714285714285714285714285714285714285714285714286,0.012722215247890934509444161201882906109675297161938508881200,0.314687044241511181061484465394640207399371805737146133212574
90,2026-08-25,"[4,8)",>=2,18,0,0,18,0,0,0.175879223646657630299759265673340687198492408383498668745102
90,2026-08-25,"[8,infinity)",<-2,25,0,3,25,0.12,0.041668171504403587446373331050597996875760129766556800087068,0.299557939209273254543489638721483993528227852228490615265778
90,2026-08-25,"[8,infinity)","[-2,0)",23,0,0,23,0,0,0.143116618450426838883472276642405084339263420435897481157223
90,2026-08-25,"[8,infinity)","[0,2)",27,0,1,27,0.0370370370370370370370370370370370370370370370370370370370370,0.0065681459807851276906533377070903760260452895409647013474160,0.182834659335758449680548080092145463359978908283987073071260
90,2026-08-25,"[8,infinity)",>=2,45,0,0,45,0,0,0.0786515987328883595248244515862390432601662136200408413169198
90,2026-08-26,"[0,1)",<-2,7,0,6,7,0.857142857142857142857142857142857142857142857142857142857143,0.486872170725681131474124029217012562390124409416087828555966,0.974320375655256439392871085115991195747668841580207081195256
90,2026-08-26,"[0,1)","[-2,0)",9,0,5,9,0.555555555555555555555555555555555555555555555555555555555556,0.266651293495493043059615993877244882026140673164104999584969,0.811221478902335396118006603400764841034398238993772151347717
90,2026-08-26,"[0,1)","[0,2)",8,0,3,8,0.375,0.136844285823597372584090192394652224791012586336676482048347,0.694257605397372680638479876891478223768586306260874968955795
90,2026-08-26,"[0,1)",>=2,3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888
90,2026-08-26,"[1,2)",<-2,9,0,7,9,0.777777777777777777777777777777777777777777777777777777777778,0.452588969106988921455535757380339125374666112269483730116276,0.936774892882153274432577229009709489928028448519902024547146
90,2026-08-26,"[1,2)","[-2,0)",7,0,1,7,0.142857142857142857142857142857142857142857142857142857142857,0.025679624344743560607128914884008804252331158419792918804746,0.513127829274318868525875970782987437609875590583912171444036
90,2026-08-26,"[1,2)","[0,2)",7,0,3,7,0.428571428571428571428571428571428571428571428571428571428571,0.158219855251469707611507071804452675421473342123943463411485,0.749541635472342778215093905328946572950968007676797554638273
90,2026-08-26,"[1,2)",>=2,6,0,1,6,0.166666666666666666666666666666666666666666666666666666666667,0.030053369748306669995961946390895487521438424174221601471187,0.563502822186470213269842757037262917935645358316977255355995
90,2026-08-26,"[2,4)",<-2,10,0,7,10,0.7,0.396778147461145352105624146696602577195570769557490247791779,0.892208732593698966083963482486079687414962484880802480497057
90,2026-08-26,"[2,4)","[-2,0)",15,0,0,15,0,0,0.203883301035848588906113525033002846962414143120117784623588
90,2026-08-26,"[2,4)","[0,2)",12,0,0,12,0,0,0.242494006655240850743536740887323444981368621780736059953412
90,2026-08-26,"[2,4)",>=2,15,0,0,15,0,0,0.203883301035848588906113525033002846962414143120117784623588
90,2026-08-26,"[4,8)",<-2,16,0,8,16,0.5,0.279995636103260167401456419730349461246240644090779100039747,0.720004363896739832598543580269650538753759355909220899960253
90,2026-08-26,"[4,8)","[-2,0)",25,0,2,25,0.08,0.022220401284847591995218228155449298156937398973362571020721,0.249661089503953128098840843697904480710628265336952993316635
90,2026-08-26,"[4,8)","[0,2)",22,0,2,22,0.0909090909090909090909090909090909090909090909090909090909091,0.025295428990995267023842223700597917677176523865640344860014,0.278149468416058176371954763582025137420927084773110326482942
90,2026-08-26,"[4,8)",>=2,18,0,0,18,0,0,0.175879223646657630299759265673340687198492408383498668745102
90,2026-08-26,"[8,infinity)",<-2,19,0,2,19,0.105263157894736842105263157894736842105263157894736842105263,0.029358560298870137791490101209690328416178648443629948669908,0.313940827111090060879334310499283241418403973740958019533294
90,2026-08-26,"[8,infinity)","[-2,0)",15,0,0,15,0,0,0.203883301035848588906113525033002846962414143120117784623588
90,2026-08-26,"[8,infinity)","[0,2)",25,0,0,25,0,0,0.133192250939048476302451276015897355794721028940851862306375
90,2026-08-26,"[8,infinity)",>=2,27,0,0,27,0,1E-61,0.124555029741867063560897531223174706536906133650947916372170
90,2026-08-27,"[0,1)",<-2,3,0,3,3,1,0.438502968244954533215461236605189053316202030549110725862112,1
90,2026-08-27,"[0,1)","[-2,0)",9,0,8,9,0.888888888888888888888888888888888888888888888888888888888889,0.565000294423343983366694220495815206854206273521955333709475,0.980109112361455090876663960450252854569566111583184722819317
90,2026-08-27,"[0,1)","[0,2)",16,0,6,16,0.375,0.184812325588636338717151440003495893824868698406163227915553,0.613589594544972782382129317575295739787010878621556538003377
90,2026-08-27,"[0,1)",>=2,11,0,0,11,0,0,0.258832966968031690622885270690496860752291234813264358589584
90,2026-08-27,"[1,2)",<-2,8,0,5,8,0.625,0.305742394602627319361520123108521776231413693739125031044205,0.863155714176402627415909807605347775208987413663323517951653
90,2026-08-27,"[1,2)","[-2,0)",8,0,2,8,0.25,0.071479212752109018118065833441354725591654990944167339215003,0.590724569689831088327074305130906171527542794250935562793281
90,2026-08-27,"[1,2)","[0,2)",16,0,3,16,0.1875,0.065915990714281405985495690382679489170512419111283834247943,0.430088809619741396762706203564299594859186523458015580549381
90,2026-08-27,"[1,2)",>=2,5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326
90,2026-08-27,"[2,4)",<-2,9,0,5,9,0.555555555555555555555555555555555555555555555555555555555556,0.266651293495493043059615993877244882026140673164104999584969,0.811221478902335396118006603400764841034398238993772151347717
90,2026-08-27,"[2,4)","[-2,0)",13,0,4,13,0.307692307692307692307692307692307692307692307692307692307692,0.126807036557105129020819308386537870881542124804031003249814,0.576306568194509629226649938678780292024123382345456869868070
90,2026-08-27,"[2,4)","[0,2)",15,0,0,15,0,0,0.203883301035848588906113525033002846962414143120117784623588
90,2026-08-27,"[2,4)",>=2,3,0,0,3,0,0,0.561497031755045466784538763394810946683797969450889274137888
90,2026-08-27,"[4,8)",<-2,10,0,4,10,0.4,0.168180329706236137316988431060809769804217864178205459186317,0.687326230266341703588217754347849097890515508602648176669265
90,2026-08-27,"[4,8)","[-2,0)",19,0,3,19,0.157894736842105263157894736842105263157894736842105263157895,0.055204716385341409053692396938765178205972216622661334906490,0.375654752703290763127688759875678582317332722603981570869620
90,2026-08-27,"[4,8)","[0,2)",31,0,3,31,0.0967741935483870967741935483870967741935483870967741935483871,0.033464644163197389148184255619828959110743648739070539136776,0.248999384433928374983389741165239285973330834602677092782202
90,2026-08-27,"[4,8)",>=2,15,0,0,15,0,0,0.203883301035848588906113525033002846962414143120117784623588
