t_sec,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
90,"[4,8)","[-2,0)",515,2,55,513,0.107212475633528265107212475633528265107212475633528265107212,0.0832999520573266691114286644757951185689939428681100338904929,0.136963838468403420816242143000428732984952008121172409101835
90,"[4,8)","[0,2)",675,0,20,675,0.0296296296296296296296296296296296296296296296296296296296296,0.0192611703593321244302785045802439701781186066050422495457304,0.0453215952496761408269806190310028544794519496756822290394192
90,"[4,8)",>=2,363,1,7,362,0.0193370165745856353591160220994475138121546961325966850828729,0.0093977339903647478802448846138855106907287665021579686767322,0.0393705463412489640870321236637115993357719585614072764644300
90,"[8,infinity)",<-2,368,4,47,364,0.129120879120879120879120879120879120879120879120879120879121,0.0985073862565878448699626711665479051106484836611390365382008,0.167480735730464620519141538028272648546860171799881797230939
90,"[8,infinity)","[-2,0)",374,3,3,371,0.00808625336927223719676549865229110512129380053908355795148248,0.0027537908626446688935063837705621792091767110087505203503069,0.0235011993181554731251612525965734009876715367006270025998255
90,"[8,infinity)","[0,2)",506,4,9,502,0.0179282868525896414342629482071713147410358565737051792828685,0.0094602398149782246363910307524946304899760124058435814141583,0.0337182273506328050239794427372609288285317600105276862847689
90,"[8,infinity)",>=2,636,3,4,633,0.00631911532385466034755134281200631911532385466034755134281201,0.00246004390918778132149794990271788518209092762586061331619217,0.0161340012125324529209909639225112958377625639799755278538588
60,"[0,1)",<-2,119,0,106,119,0.890756302521008403361344537815126050420168067226890756302521,0.822035805061349930370901943365193407976254429700472430824607,0.935037587690747772246287402323806680430588051651845840472707
60,"[0,1)","[-2,0)",451,0,219,451,0.485587583148558758314855875831485587583148558758314855875831,0.439777967665864470110852595003259676432176893789564208336342,0.531640644802519132758852528446409583764149719412577228911916
60,"[0,1)","[0,2)",459,2,57,457,0.124726477024070021881838074398249452954048140043763676148796,0.0975264998738651755212017745703806244929439017206792786647516,0.158182826110506186056812994507634151446604097603138469365044
60,"[0,1)",>=2,91,0,6,91,0.0659340659340659340659340659340659340659340659340659340659341,0.0305662864716154794942349571051068828857005336877255451462319,0.136464661994115687673736546084826320774572399477654633287366
60,"[1,2)",<-2,100,1,80,99,0.808080808080808080808080808080808080808080808080808080808081,0.719596393856990869577766139009011720047559164516601356595527,0.873549606788085185085980841837091729324324455525750305309265
60,"[1,2)","[-2,0)",347,1,97,346,0.280346820809248554913294797687861271676300578034682080924855,0.235629397974602173884104166415447674189279277023038836220326,0.329888078106169404683186748929594860980817448985277531751170
60,"[1,2)","[0,2)",397,0,23,397,0.0579345088161209068010075566750629722921914357682619647355164,0.0389117020538386053983371808953434728276980245402852293782456,0.0854303731579707339792147817407968214036409394324932972709854
60,"[1,2)",>=2,91,0,5,91,0.0549450549450549450549450549450549450549450549450549450549451,0.0236950997034267737361463274487270721081000005375063833619148,0.122248024672829233106963694809305706328382373973832786930761
60,"[2,4)",<-2,171,1,108,170,0.635294117647058823529411764705882352941176470588235294117647,0.560688638164710298654612555444270106456145223587834384508376,0.703920277982535872543766696833975487003783876348919757765206
60,"[2,4)","[-2,0)",467,1,50,466,0.107296137339055793991416309012875536480686695278969957081545,0.0823387830905147648657747474475071886603228180408887745027397,0.138675043746599672571485945155958080482253790974066842432210
60,"[2,4)","[0,2)",677,0,29,677,0.0428360413589364844903988183161004431314623338257016248153619,0.0299885111363969803199788902853427911243881264562194796828462,0.0608424128907789900870804190844753069388389080692465575607378
60,"[2,4)",>=2,217,3,2,214,0.00934579439252336448598130841121495327102803738317757009345794,0.0025667066674903927957892865640882950613831045416888830361807,0.0334294662517721903463726334532561360978627169983546396706045
60,"[4,8)",<-2,247,0,80,247,0.323886639676113360323886639676113360323886639676113360323887,0.268610767429364679022916882530457630099280093647265669113086,0.384556614035319250546976763526991068059274822690006600714540
60,"[4,8)","[-2,0)",511,2,10,509,0.0196463654223968565815324165029469548133595284872298624754420,0.0107058508632353291425137264212464798394575515462384052778570,0.0357830950100542680449222822522630111199048050291190823763948
60,"[4,8)","[0,2)",715,1,7,714,0.00980392156862745098039215686274509803921568627450980392156863,0.00475697284003460143580726743397649595204408132601082098610787,0.0200973436688014394808442049050779052475296789367827925045265
60,"[4,8)",>=2,355,2,2,353,0.00566572237960339943342776203966005665722379603399433427762040,0.00155512298069094736861020589292887109985376678319808432686190,0.0204195064432805121557050095216841436878945208546024735151519
60,"[8,infinity)",<-2,438,1,21,437,0.0480549199084668192219679633867276887871853546910755148741419,0.0316428623151100801068588403317458520122645657420809622479868,0.0723434073595383610314065510377753081996731833957778027842092
60,"[8,infinity)","[-2,0)",445,7,2,438,0.00456621004566210045662100456621004566210045662100456621004566,0.00125311393501555329549317791312547402599671145082249668413771,0.0164941088847341577677545170543318331307024976468634524993024
60,"[8,infinity)","[0,2)",581,2,0,579,0,0,0.00659091552695450052138811121909145165655985568601419011709374
60,"[8,infinity)",>=2,608,3,0,605,0,0,0.00630945669852198368278896315330137980126856307336237865491168
30,"[0,1)",<-2,82,0,78,82,0.951219512195121951219512195121951219512195121951219512195122,0.881185380774240632206980689726743952541470403793063014342800,0.980868934432254206788583810124455398986008823018735573953212
30,"[0,1)","[-2,0)",417,0,170,417,0.407673860911270983213429256594724220623501199040767386091127,0.361560122795511083372568548760384011391680659188246966869118,0.455473112913314325483544962394471602495749528172955990672838
30,"[0,1)","[0,2)",458,2,19,456,0.0416666666666666666666666666666666666666666666666666666666667,0.0268344682720986039338560542563601027330776278562556717648234,0.0641565853140665258883450695794799345121988900649944264759336
30,"[0,1)",>=2,91,1,0,90,0,0,0.0409356255643267779347737319135887781891865818252014822304956
30,"[1,2)",<-2,95,0,77,95,0.810526315789473684210526315789473684210526315789473684210526,0.720264034303489232898808855693404912755248979829353861065391,0.876651477708838085756802405937036137559653776648990531759891
30,"[1,2)","[-2,0)",285,1,36,284,0.126760563380281690140845070422535211267605633802816901408451,0.0929849998961212025418110349890394151576072547979006516024600,0.170498443842045280464214498329877639322207934438311907908754
30,"[1,2)","[0,2)",379,1,5,378,0.0132275132275132275132275132275132275132275132275132275132275,0.0056628818765608806894172567614704780770545123059339923148358,0.0305863480091698485046221097420376556690366508722292525037962
30,"[1,2)",>=2,116,0,1,116,0.00862068965517241379310344827586206896551724137931034482758621,0.0015233877766386063918144066273284061815738587135940822543264,0.0472198341281787497401099972292859611209561665301013841780096
30,"[2,4)",<-2,141,0,65,141,0.460992907801418439716312056737588652482269503546099290780142,0.380841423181723781769252310324589959689781876442479754002944,0.543213470427036374735509121706157249287245100543843430577174
30,"[2,4)","[-2,0)",530,0,8,530,0.0150943396226415094339622641509433962264150943396226415094340,0.0076679434055577591538179606051926597713964892820591129470350,0.0294993812614431316568041879609239730581079801078996280130366
30,"[2,4)","[0,2)",658,0,0,658,0,0,0.00580419792307820931204129462371734820578359888999792096952729
30,"[2,4)",>=2,180,2,0,178,0,0,0.0211253189762518284571776707073542034914253344488032569962098
